name,loa_ft,beam_ft,draft_ft,vessel_type
Swift Dory,38,13,5.5,fishing vessel
IRON PETREL,42,12.5,6.5,sailing vessel
NORTHERN MERIDIAN,85,20,11,research vessel
Long Drift,41,13.5,5.8,fishing vessel
Quiet Tern,72,19,9.5,research vessel
NORTHERN HARBOR,44,14,4.5,motor vessel
Deep Cove,36,12,5,fishing vessel
WESTERN CURRENT,68,22,11,tug
CLEAR STAR,78,20,10.5,research vessel
SALT DORY,120,28,5,barge
Swift Petrel,39,13,4.2,motor vessel
FAR HORIZON,45,13.5,7,sailing vessel
Golden Star,60,22,4.5,barge
WESTERN COVE,65,22,4.5,barge
Amber Tide,75,19,10,research vessel
