Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANUARY 2011,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M
North Pier West - 410',R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRUARY 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,,,
,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,,,,,,
North Pier West - 410',R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,M/V GREY COMPASS,,Barge Blue Petrel,,,,,,,,,,,,,,,,,,,,,,,M/V GREY COMPASS,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Barge Western Voyager,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCH 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,,,,
,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,,,,,
North Pier West - 410',R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,R/V Quiet Star,,,,,,,,
North Pier East - 240',,,M/V GREY COMPASS,,,,,,,,,,,,,,,,,,,,,Barge Silver Voyager,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Barge Western Voyager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,
,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,,,,
North Pier West - 410',R/V GOLDEN COMPASS,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,Barge High Voyager,,,,,R/V GOLDEN COMPASS,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,Tug Wild Gannet,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,M/V Green Tern,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,R/V Long Ketch,R/V Long Ketch,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,R/V Long Ketch,R/V Long Ketch,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Barge Western Voyager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M/Y Blue Skua,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,,,
North Pier West - 410',,,,,,,,,,,,,,R/V Northern Meridian,,,,,M/V GREY COMPASS,,M/V GREY COMPASS,,,,,,,,R/V Northern Meridian,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,M/Y Bright Marlin,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,,,,R/V Long Ketch,,,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,R/V Long Ketch,,,R/V Long Ketch,,R/V Long Ketch,,,,,,,,,M/Y Silver Sextant,,,
South Float East - 90',,,,,,,,,Tug Bright Anchor,,,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,
,M/V Grey Petrel,,Touch and go,,,,,,,,,,,,,,,,,F/V High Lantern,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ultrasonic pier test,,,,,,,,,Barge Quiet Lantern,,,,,,,,,F/V SILVER DRIFT,,,,,,,,,,,,,,,,
JUNE 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,
,,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,,,,
North Pier West - 410',,,,,,R/V Wild Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M/V DEEP SOUND,M/V DEEP SOUND,,,,
North Pier East - 240',M/V GREY COMPASS,,,,,,,,F/V SILVER DRIFT,M/Y Salt Horizon,F/V SALT FATHOM,F/V SILVER DRIFT,,,,,R/V Coral Sound,F/V SALT FATHOM,,M/V GREY COMPASS,F/V SILVER DRIFT,,,,,,,M/V Bright Skua,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,R/V Northern Lantern,,,,,,,,,
South Float West - 90',,,,,Barge SILVER BEACON,R/V Long Ketch,R/V Long Ketch,,,,R/V Long Ketch,R/V Long Ketch,,,,,,,R/V Long Ketch,,,,R/V Long Ketch,,,R/V Long Ketch,,R/V Long Ketch,R/V Long Ketch,,,,,,
South Float East - 90',,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,M/Y Western Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V Swift Sound,,,,,,,,
,Paving near dock entrance,,,,,,,,R/V Bright Kestrel,,,,,F/V Clear Skua,,,,,,Community sail day,,,,,,Concrete work near test wells,,,,,,,,,
JULY 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,,,
North Pier West - 410',,R/V Wild Ledge,,,,,,,,,,,F/V SALT FATHOM,Emergency port call,,,,,,R/V Wild Ledge,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,Rescue drill,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,F/V SALT FATHOM,M/Y Salt Horizon,M/V GREY COMPASS,S/V Western Compass,M/V GREY COMPASS,S/V Western Compass,Public open house,,,,,,F/V SALT FATHOM,M/Y Salt Horizon,,,,,,,,,M/V BRIGHT GANNET,M/V GREY COMPASS,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,R/V Long Ketch,Barge SILVER BEACON,R/V Far Marlin,R/V Long Ketch,,R/V Long Ketch,M/Y Salt Sound,,,,R/V Long Ketch,,,,,,,,
South Float East - 90',,,R/V Far Sextant,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,OSV Silver Tide,,,,,,,
,,M/Y Western Star,,,,,,,,,M/Y Western Beacon,,,,,,,,R/V Swift Osprey,,,,,,R/V Long Tide,,,,,,,,,,
