Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V Wild Current,,,,,,,
JANUARY 2013,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,,,,
North Pier West - 410',R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V Wild Current,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Float rebuild - no usage permitted,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Concrete work near test wells,,,,,,,,,
,,,,,R/V Wild Current,,,,,,,,,,,,,,,,,,,,,,,,Float rebuild - no usage permitted,,,,,,
FEBRUARY 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,
,,,,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,,,
North Pier West - 410',,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,OSV High Harbor,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,M/V GREY COMPASS,,,,,,,M/V GREY COMPASS,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Bollard replacement, west face",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Float rebuild - no usage permitted,,,,,,,,,,,,,,
,,,,,Float rebuild - no usage permitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCH 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,
,,,,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,,
North Pier West - 410',R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,R/V GOLDEN COMPASS,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,OSV High Harbor,,,,,,
North Pier East - 240',,,,,R/V Deep Kestrel,,,,,,,,R/V Wild Ledge,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,
North Pier West - 410',,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,R/V GOLDEN COMPASS,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,S/V Western Wind,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S/V Silver Star,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Provisioning,Barge Salt Compass,,,,,,,,,,,,
MAY 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F
North Pier West - 410',,,,,R/V GOLDEN COMPASS,,,,,,R/V GOLDEN COMPASS,,,,,,,,,R/V Wild Ledge,,,,,,,,,,,,,,M/V Long Sound,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,F/V SALT FATHOM,M/V Long Sound,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,F/V Western Gannet,Departure 0800,,,,,,,,,,F/V SALT FATHOM,,,
Inner Channel - 55',R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,Load equipment,,,,,,,,,,,
South Float West - 90',,,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,,,,,,,R/V Long Ketch,,,,,,,,R/V Quiet Meridian,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Rescue drill,,,,,,,,,,,,,,,,,,
,,,,,"Bollard replacement, west face",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,
North Pier West - 410',,,,,,,,,,,,,,,,,,,,F/V Amber Sound,,,,,,,,,,,M/Y BLUE TIDE,,,,
North Pier Face - 75',,,,,,,F/V SALT FATHOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',M/V GREY COMPASS,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,Barge SILVER VOYAGER,,,Barge SILVER VOYAGER,,,,,,
Inner Channel - 55',R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,S/V Deep Skua,,,,,,,,,,M/V Golden Ledge,,
South Float East - 90',,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,R/V Amber Harbor,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rescue drill,,,,,,,,,,,,,,,,,,,,
,,,,,Utility work on pier face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W
North Pier West - 410',,,,,M/Y BLUE TIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F/V Coral Marlin,,,
North Pier East - 240',,,,,,R/V GOLDEN COMPASS,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
