,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,
North Pier West - 410',,,,,,,,,,,,,,,,,,,,F/V Green Reef,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,
,,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,,,
North Pier West - 410',,,,,,,,OS/V Golden Osprey,,,,,,,,,,,,,F/V SALT FATHOM,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,M/V Golden Drift,,,,,F/V Western Gannet,,,,,,,,,,,,,,M/V Wild Compass,,,,,,Touch and go,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,
North Pier West - 410',,M/V Golden Drift,,,,,,,,,,,,F/V SALT FATHOM,,,,,Tug Far Meridian,,,,,,R/V GOLDEN COMPASS,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,M/V Wild Compass,,,,,,,,,,,,F/V Silver Lantern,,,,,F/V Silver Lantern,,,,,Barge Silver Voyager,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Concrete work near test wells,,,,,,,,,,,,,,,
April,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,,
North Pier West - 410',,,,,R/V GOLDEN COMPASS,,,,,,,,,R/V GOLDEN COMPASS,,,,,,F/V SALT FATHOM,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,Tug Amber Lantern,,,,,,,,,,,,,,
North Pier East - 240',,,,,,R/V BLUE COVE,,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,R/V Long Ketch,,,,,,,,,,,,,,,,,R/V Long Ketch,,,R/V Long Ketch,,,R/V Long Ketch,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,F/V Salt Harbor,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ultrasonic pier test,,,,,,,,,,,,,,,,,,,,,,Bunkering 1000,,,Load equipment,,Bunker barge,,Bunker barge,Fueling @0800,
May,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,
North Pier West - 410',,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,Departs 0600,,,,,R/V GOLDEN COMPASS,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,R/V Long Ketch,,,,,,R/V Long Ketch,,,R/V Long Ketch,,,,,,,,,,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,R/V Long Ketch,M/V Bright Lantern
South Float East - 90',,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,
North Finger Piers:,,,,,,,,M/V GOLDEN STRAND,,,,,,,,,,,,,,,,Tug Grey Voyager,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,M/V Swift Voyager,,,,,,,,,,,,,,,,,,,
,,,,,,M/V Northern Tide,,,,,,,,,,,,M/V Northern Tide,,,,,,,,,,,,,,,
June,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
,,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,,
North Pier West - 410',,,,,R/V GOLDEN COMPASS,,,,,,,,,,Tug Salt Tide,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,S/V High Meridian,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,R/V Long Ketch,,,,,,,Tug Amber Horizon,R/V Long Ketch,,,R/V Long Ketch,,,M/V Bright Cove,,,,S/V High Meridian,,,R/V Long Ketch,,,,,,,,,
South Float East - 90',,OSV AMBER REEF,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,M/V Silver Dory,,,S/V Golden Anchor,,,,Fueling,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,
North Pier West - 410',,Tug Salt Tide,,,Tug Salt Tide,,,,,,,,,,,,,,,,,,,,,,,R/V Green Star,,,Tug Salt Tide,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V Green Star,
North Pier East - 240',,R/V Green Star,,,,,,,F/V SALT FATHOM,,,,,,,,,,R/V Bright Current,,,,,,,,,,,,,F/V Bright Ketch,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,M/Y Wild Ketch,,,,,,,R/V Long Ketch,,R/V Long Ketch,,F/V Swift Horizon,S/V Bright Sextant,,R/V Long Ketch,,,,,,,,,R/V Long Ketch,,,,R/V Blue Kestrel,R/V Green Star,,
South Float East - 90',,OSV AMBER REEF,,,,S/V High Meridian,,,,OSV AMBER REEF,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,,,,
North Finger Piers:,,,,,,,,,,S/V High Marlin,,,,,,,,,,,,,,,,,R/V Northern Horizon,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Safety training (RIBs),,,,,,,,Film crew on dock,Pier repair - no docking,,,,,,,,,,,,,
August,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,
North Pier West - 410',,Tug Salt Tide,,,,,,,,,,,,,,,,,,,,R/V Blue Anchor,S/Y Far Harbor,,,R/V Blue Anchor,F/V SALT FATHOM,,,,,,
North Pier Face - 75',,R/V Green Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,Tug Salt Tide,,,,R/V Green Star,,,Barge Clear Ledge,,,,,,,,,,,,R/V Green Star,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,R/V Long Ketch,,,,R/V Long Ketch,,,R/V Long Ketch,,M/Y Wild Anchor,,,R/V Long Ketch,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,OSV AMBER REEF,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,Barge Deep Tern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,M/Y Green Horizon,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Dive training,,,,,,,,,,,R/V Blue Meridian,,,,,,,,,,,
,,"Bollard replacement, west face",,,,,,,,R/V Silver Petrel,,,,,"Bollard replacement, west face",,,,,,,,,,,,,,,,,,
September,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
,,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,,
North Pier West - 410',,,,,,Tug Salt Tide,,,,,,,,,,,,,,,,,,,,,,,,,Tug Salt Tide,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,R/V Blue Anchor,,,,,,,,R/V Blue Anchor,,,,,,,,,,,,,,,,,,,F/V Swift Fathom,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,R/V Long Ketch,R/V Blue Star,,S/V Salt Anchor,,,,,,R/V Long Ketch,,R/V Blue Star,,,R/V Blue Star,,,R/V Long Ketch,R/V Blue Star,,R/V Long Ketch,,,,,,,,
South Float East - 90',,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,Barge Deep Tern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R/V Silver Petrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
